Saving_id,CIF,CurrentSavingBalance,SavingProductSubcribed,ApplicationDate,UpdateDate
146,37,1636019399,Tiết kiệm Đại Phát,2003-08-17,2018-05-06
145,37,1664166697,Tiết kiệm truyền thống,2003-08-17,2024-01-10
149,38,737519324,Tiết kiệm Tích Tài,2007-05-27,2007-12-30
148,38,722200183,Tiết kiệm Trung Niên Tích Lộc,2007-05-27,2011-04-07
147,38,675607235,Tiết kiệm Tích Tài,2007-05-27,2017-06-16
150,38,771213578,Tiết kiệm Đại Phát,2007-05-27,2017-07-26
167,41,871913703,Tiết kiệm Trung Niên Tích Lộc,2003-02-19,2004-02-24
163,41,1045320410,Tiền gửi tương lai,2003-02-19,2006-01-28
162,41,1081836219,Tiết kiệm Đại Phát,2003-02-19,2006-10-03
159,41,1045150065,Tiết kiệm Trung Niên Tích Lộc,2003-02-19,2010-06-14
158,41,999488756,Tiết kiệm Tích Tài,2003-02-19,2010-10-13
164,41,997444420,Tiết kiệm Đại Phát,2003-02-19,2011-07-04
161,41,1109524658,Tiết kiệm Trung Niên Tích Lộc,2003-02-19,2012-03-11
152,41,1125543599,Tiền gửi tương lai,2003-02-19,2012-12-07
155,41,1080309133,Tiền gửi tương lai,2003-02-19,2014-04-06
157,41,1027308903,Tiết kiệm Tích Tài,2003-02-19,2015-08-23
166,41,915393809,Tiết kiệm Tích Tài,2003-02-19,2015-10-03
153,41,1094183777,Tiết kiệm Tích Tài,2003-02-19,2018-02-27
151,41,1141275242,Tiền gửi tương lai,2003-02-19,2019-01-20
160,41,1060460422,Tiền gửi tương lai,2003-02-19,2019-07-21
156,41,1055311951,Tiết kiệm Tích Tài,2003-02-19,2023-01-03
154,41,1124257598,Tiết kiệm Đại Phát,2003-02-19,2023-08-02
165,41,954600956,Tiền gửi tương lai,2003-02-19,2024-01-01
169,42,6212833961,Tiền gửi tương lai,2003-05-19,2003-08-14
173,42,6240346206,Tiền gửi tương lai,2003-05-19,2005-12-05
178,42,6126039832,Tiết kiệm Tích Tài,2003-05-19,2007-12-26
181,42,6178436406,Tiết kiệm Trung Niên Tích Lộc,2003-05-19,2008-04-11
174,42,6201993841,Tiết kiệm truyền thống,2003-05-19,2010-03-09
171,42,6169809250,Tiết kiệm Đại Phát,2003-05-19,2011-03-27
175,42,6171466176,Tiền gửi tương lai,2003-05-19,2011-06-13
170,42,6195160610,Tiết kiệm Đại Phát,2003-05-19,2012-12-05
172,42,6219255046,Tiền gửi tương lai,2003-05-19,2014-01-28
180,42,6150961122,Tiết kiệm truyền thống,2003-05-19,2015-10-30
168,42,6189514344,Tiết kiệm Trung Niên Tích Lộc,2003-05-19,2018-02-23
179,42,6174194421,Tiết kiệm Đại Phát,2003-05-19,2020-02-12
177,42,6104932423,Tiết kiệm Đại Phát,2003-05-19,2020-10-10
176,42,6122806310,Tiết kiệm Trung Niên Tích Lộc,2003-05-19,2022-05-05
182,43,3900989359,Tiết kiệm truyền thống,2005-04-20,2005-12-20
187,43,3842269957,Tiền gửi tương lai,2005-04-20,2005-12-30
189,43,3845553513,Tiết kiệm Tích Tài,2005-04-20,2008-01-05
190,43,3862127214,Tiết kiệm Đại Phát,2005-04-20,2008-02-02
185,43,3895285210,Tiền gửi tương lai,2005-04-20,2011-07-06
186,43,3869582449,Tiết kiệm Trung Niên Tích Lộc,2005-04-20,2015-05-19
188,43,3830634601,Tiết kiệm Đại Phát,2005-04-20,2016-01-24
183,43,3884498929,Tiết kiệm Tích Tài,2005-04-20,2019-06-02
184,43,3864042255,Tiết kiệm Tích Tài,2005-04-20,2022-03-31
204,49,7196127378,Tiết kiệm truyền thống,2015-08-13,2016-01-30
193,49,7184261992,Tiết kiệm Đại Phát,2015-08-13,2016-06-16
194,49,7164739697,Tiết kiệm truyền thống,2015-08-13,2016-08-25
196,49,7153889764,Tiết kiệm truyền thống,2015-08-13,2016-10-07
203,49,7183379264,Tiết kiệm Đại Phát,2015-08-13,2018-01-02
192,49,7212948630,Tiết kiệm truyền thống,2015-08-13,2018-06-30
197,49,7183965889,Tiết kiệm Đại Phát,2015-08-13,2019-07-13
195,49,7198638715,Tiết kiệm Tích Tài,2015-08-13,2019-09-02
198,49,7141923511,Tiết kiệm Tích Tài,2015-08-13,2019-09-15
206,49,7228111894,Tiền gửi tương lai,2015-08-13,2019-12-05
201,49,7258564737,Tiết kiệm Tích Tài,2015-08-13,2021-08-08
199,49,7178937731,Tiết kiệm Trung Niên Tích Lộc,2015-08-13,2022-06-26
207,49,7249400333,Tiết kiệm truyền thống,2015-08-13,2022-07-11
200,49,7219949906,Tiền gửi tương lai,2015-08-13,2022-08-19
191,49,7171292905,Tiết kiệm truyền thống,2015-08-13,2023-01-27
202,49,7219365536,Tiết kiệm Tích Tài,2015-08-13,2023-05-20
205,49,7208788317,Tiền gửi tương lai,2015-08-13,2024-01-03
212,51,7386352523,Tiết kiệm Đại Phát,2003-02-08,2004-05-08
216,51,7268380308,Tiết kiệm Trung Niên Tích Lộc,2003-02-08,2005-03-26
211,51,7371079781,Tiết kiệm truyền thống,2003-02-08,2006-04-02
221,51,7326583628,Tiết kiệm truyền thống,2003-02-08,2006-09-27
213,51,7374159057,Tiết kiệm Trung Niên Tích Lộc,2003-02-08,2007-07-03
218,51,7299052962,Tiết kiệm Đại Phát,2003-02-08,2015-10-25
217,51,7317529668,Tiền gửi tương lai,2003-02-08,2017-11-21
210,51,7328783996,Tiết kiệm Đại Phát,2003-02-08,2018-06-10
220,51,7347114508,Tiết kiệm Tích Tài,2003-02-08,2019-12-07
209,51,7306499835,Tiết kiệm Trung Niên Tích Lộc,2003-02-08,2020-09-04
219,51,7329567745,Tiết kiệm truyền thống,2003-02-08,2021-02-23
214,51,7356519789,Tiết kiệm Tích Tài,2003-02-08,2021-12-08
215,51,7313931436,Tiết kiệm Trung Niên Tích Lộc,2003-02-08,2022-11-27
208,51,7331913417,Tiết kiệm truyền thống,2003-02-08,2024-04-13
222,52,7796043148,Tiết kiệm Đại Phát,2014-02-25,2014-03-12
223,53,3838748026,Tiền gửi tương lai,2014-12-12,2015-08-26
226,53,3838816586,Tiết kiệm truyền thống,2014-12-12,2016-01-21
225,53,3884287744,Tiết kiệm Trung Niên Tích Lộc,2014-12-12,2017-01-10
224,53,3849825877,Tiền gửi tương lai,2014-12-12,2017-01-17
230,53,3841643844,Tiền gửi tương lai,2014-12-12,2018-04-12
231,53,3804017145,Tiết kiệm Trung Niên Tích Lộc,2014-12-12,2019-10-24
233,53,3734844665,Tiết kiệm Tích Tài,2014-12-12,2019-12-04
228,53,3829008052,Tiết kiệm Trung Niên Tích Lộc,2014-12-12,2019-12-07
232,53,3771080190,Tiết kiệm Tích Tài,2014-12-12,2020-12-02
229,53,3854566979,Tiết kiệm truyền thống,2014-12-12,2021-10-25
234,53,3716616736,Tiền gửi tương lai,2014-12-12,2022-11-14
227,53,3857933021,Tiết kiệm truyền thống,2014-12-12,2023-12-06
239,55,7539565166,Tiền gửi tương lai,2017-09-10,2018-09-02
235,55,7486159971,Tiền gửi tương lai,2017-09-10,2019-02-18
240,55,7494342195,Tiền gửi tương lai,2017-09-10,2019-03-28
241,55,7461646990,Tiền gửi tương lai,2017-09-10,2019-05-27
238,55,7511233530,Tiết kiệm Đại Phát,2017-09-10,2019-11-23
242,55,7504735452,Tiết kiệm Đại Phát,2017-09-10,2019-12-05
244,55,7480386596,Tiết kiệm truyền thống,2017-09-10,2020-05-06
236,55,7441822679,Tiết kiệm Tích Tài,2017-09-10,2021-01-17
243,55,7455573327,Tiết kiệm Đại Phát,2017-09-10,2021-05-20
237,55,7481447055,Tiết kiệm Đại Phát,2017-09-10,2023-03-06
256,56,855024931,Tiết kiệm Tích Tài,2005-12-07,2007-04-13
259,56,805080768,Tiết kiệm Tích Tài,2005-12-07,2007-05-06
258,56,854738534,Tiết kiệm truyền thống,2005-12-07,2007-06-04
260,56,831176168,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2008-06-23
254,56,840515127,Tiết kiệm Tích Tài,2005-12-07,2010-10-16
262,56,770157875,Tiết kiệm Tích Tài,2005-12-07,2010-12-14
247,56,867067243,Tiết kiệm Đại Phát,2005-12-07,2012-10-05
250,56,886499015,Tiết kiệm truyền thống,2005-12-07,2013-03-06
246,56,894535829,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2014-06-12
245,56,873877751,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2014-09-14
248,56,838773081,Tiền gửi tương lai,2005-12-07,2018-02-10
253,56,814201725,Tiết kiệm Tích Tài,2005-12-07,2018-06-03
255,56,868706709,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2019-01-26
257,56,821791429,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2019-03-11
252,56,852407930,Tiết kiệm Đại Phát,2005-12-07,2019-07-25
251,56,866612858,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2020-09-21
249,56,850817470,Tiền gửi tương lai,2005-12-07,2022-09-20
261,56,791562094,Tiết kiệm Trung Niên Tích Lộc,2005-12-07,2024-01-08
264,63,8197725768,Tiền gửi tương lai,2020-06-08,2021-03-13
263,63,8232893355,Tiết kiệm Trung Niên Tích Lộc,2020-06-08,2023-01-30
267,63,8193901247,Tiết kiệm truyền thống,2020-06-08,2023-03-09
266,63,8183412651,Tiết kiệm truyền thống,2020-06-08,2023-05-04
268,63,8213393399,Tiền gửi tương lai,2020-06-08,2023-08-20
265,63,8225319069,Tiền gửi tương lai,2020-06-08,2024-05-15
272,64,3519383170,Tiền gửi tương lai,2022-10-19,2023-04-12
273,64,3492559145,Tiền gửi tương lai,2022-10-19,2023-07-17
271,64,3555861902,Tiết kiệm Đại Phát,2022-10-19,2023-12-15
269,64,3632039945,Tiết kiệm Trung Niên Tích Lộc,2022-10-19,2024-04-05
270,64,3590505519,Tiền gửi tương lai,2022-10-19,2024-05-20
288,67,3356675010,Tiền gửi tương lai,2000-03-23,2001-06-05
284,67,3455796433,Tiết kiệm Tích Tài,2000-03-23,2003-06-22
280,67,3481836058,Tiết kiệm Đại Phát,2000-03-23,2003-10-24
277,67,3513833282,Tiền gửi tương lai,2000-03-23,2004-11-27
287,67,3406212123,Tiền gửi tương lai,2000-03-23,2006-08-14
285,67,3425683718,Tiền gửi tương lai,2000-03-23,2006-10-01
286,67,3445600923,Tiết kiệm Trung Niên Tích Lộc,2000-03-23,2006-12-19
278,67,3483290216,Tiền gửi tương lai,2000-03-23,2007-09-13
274,67,3530158460,Tiết kiệm Trung Niên Tích Lộc,2000-03-23,2010-05-28
282,67,3463638843,Tiết kiệm Tích Tài,2000-03-23,2015-10-05
279,67,3440997901,Tiết kiệm truyền thống,2000-03-23,2018-02-27
276,67,3502737553,Tiết kiệm Đại Phát,2000-03-23,2019-04-07
283,67,3425772290,Tiết kiệm Đại Phát,2000-03-23,2019-10-21
281,67,3504689217,Tiết kiệm truyền thống,2000-03-23,2020-08-08
275,67,3549754238,Tiết kiệm truyền thống,2000-03-23,2020-11-23
289,67,3331649421,Tiền gửi tương lai,2000-03-23,2022-05-31
293,68,670408088,Tiết kiệm Đại Phát,2001-12-10,2002-04-15
300,68,670518487,Tiết kiệm truyền thống,2001-12-10,2003-08-24
296,68,697216768,Tiết kiệm Tích Tài,2001-12-10,2006-03-10
306,68,613564134,Tiết kiệm Tích Tài,2001-12-10,2006-10-19
307,68,594355654,Tiền gửi tương lai,2001-12-10,2006-11-20
304,68,579298361,Tiết kiệm Tích Tài,2001-12-10,2007-01-24
305,68,594176678,Tiết kiệm truyền thống,2001-12-10,2010-07-26
291,68,624816300,Tiết kiệm Tích Tài,2001-12-10,2011-01-26
298,68,653086195,Tiết kiệm Đại Phát,2001-12-10,2013-05-14
299,68,685456733,Tiết kiệm Trung Niên Tích Lộc,2001-12-10,2014-03-25
297,68,683597443,Tiết kiệm Trung Niên Tích Lộc,2001-12-10,2014-07-14
294,68,660313843,Tiết kiệm Tích Tài,2001-12-10,2016-07-31
301,68,643770801,Tiết kiệm Đại Phát,2001-12-10,2017-06-10
308,68,544533032,Tiết kiệm Đại Phát,2001-12-10,2018-02-28
302,68,605113131,Tiết kiệm Đại Phát,2001-12-10,2019-12-01
303,68,591691720,Tiền gửi tương lai,2001-12-10,2021-05-28
295,68,648379307,Tiết kiệm Trung Niên Tích Lộc,2001-12-10,2023-06-05
290,68,610609673,Tiết kiệm Đại Phát,2001-12-10,2023-07-18
292,68,647125305,Tiết kiệm Đại Phát,2001-12-10,2024-01-22
314,69,4426651071,Tiết kiệm Tích Tài,2021-04-13,2021-05-10
315,69,4449861757,Tiết kiệm Trung Niên Tích Lộc,2021-04-13,2021-11-08
318,69,4410315368,Tiết kiệm Đại Phát,2021-04-13,2021-12-18
319,69,4445570235,Tiết kiệm Trung Niên Tích Lộc,2021-04-13,2022-05-11
310,69,4476964329,Tiết kiệm truyền thống,2021-04-13,2022-11-22
317,69,4425604959,Tiết kiệm Trung Niên Tích Lộc,2021-04-13,2023-02-23
312,69,4433982118,Tiết kiệm Tích Tài,2021-04-13,2023-03-08
309,69,4460990003,Tiết kiệm Trung Niên Tích Lộc,2021-04-13,2023-06-25
311,69,4446970473,Tiết kiệm truyền thống,2021-04-13,2023-11-30
316,69,4474380960,Tiết kiệm truyền thống,2021-04-13,2024-02-03
313,69,4391761849,Tiết kiệm Đại Phát,2021-04-13,2024-03-09
329,70,8303183366,Tiết kiệm Đại Phát,2012-11-30,2013-06-13
331,70,8277877091,Tiết kiệm Trung Niên Tích Lộc,2012-11-30,2013-09-13
320,70,8270245983,Tiết kiệm Trung Niên Tích Lộc,2012-11-30,2014-08-06
322,70,8250267893,Tiết kiệm Đại Phát,2012-11-30,2014-09-17
321,70,8298583633,Tiết kiệm Tích Tài,2012-11-30,2015-03-29
328,70,8272697653,Tiền gửi tương lai,2012-11-30,2016-08-16
323,70,8217376675,Tiết kiệm truyền thống,2012-11-30,2017-04-13
330,70,8260724227,Tiết kiệm Đại Phát,2012-11-30,2018-11-06
325,70,8265038676,Tiết kiệm truyền thống,2012-11-30,2019-07-28
326,70,8236653427,Tiền gửi tương lai,2012-11-30,2019-12-13
324,70,8230397373,Tiết kiệm Tích Tài,2012-11-30,2021-12-15
327,70,8248408907,Tiết kiệm Đại Phát,2012-11-30,2022-02-07
334,71,6391959359,Tiết kiệm Trung Niên Tích Lộc,2007-10-17,2014-10-11
332,71,6389744604,Tiết kiệm Tích Tài,2007-10-17,2015-04-14
336,71,6368140474,Tiết kiệm Đại Phát,2007-10-17,2017-07-27
333,71,6346372823,Tiền gửi tương lai,2007-10-17,2018-09-02
335,71,6357646280,Tiền gửi tương lai,2007-10-17,2023-09-08
337,71,6402552536,Tiền gửi tương lai,2007-10-17,2023-10-22
343,72,2874090764,Tiết kiệm truyền thống,2001-08-25,2003-09-08
340,72,2840037705,Tiết kiệm Trung Niên Tích Lộc,2001-08-25,2003-09-25
344,72,2859615554,Tiết kiệm Đại Phát,2001-08-25,2004-05-02
352,72,2860037548,Tiết kiệm Đại Phát,2001-08-25,2006-08-11
350,72,2809483242,Tiết kiệm Trung Niên Tích Lộc,2001-08-25,2007-03-14
339,72,2827375068,Tiết kiệm Trung Niên Tích Lộc,2001-08-25,2011-01-12
351,72,2825344487,Tiết kiệm truyền thống,2001-08-25,2016-02-09
342,72,2851946229,Tiết kiệm Đại Phát,2001-08-25,2017-06-19
348,72,2756415326,Tiền gửi tương lai,2001-08-25,2020-08-04
346,72,2828101335,Tiết kiệm Đại Phát,2001-08-25,2021-11-10
347,72,2786132430,Tiết kiệm Đại Phát,2001-08-25,2022-12-19
341,72,2811706081,Tiền gửi tương lai,2001-08-25,2023-12-11
349,72,2796548756,Tiết kiệm truyền thống,2001-08-25,2024-02-18
345,72,2874095815,Tiết kiệm Tích Tài,2001-08-25,2024-02-23
338,72,2798355390,Tiết kiệm Trung Niên Tích Lộc,2001-08-25,2024-05-20
361,73,1082493373,Tiết kiệm truyền thống,2002-01-12,2003-01-20
371,73,1133567588,Tiết kiệm Trung Niên Tích Lộc,2002-01-12,2003-07-20
358,73,1017056337,Tiết kiệm truyền thống,2002-01-12,2003-11-29
370,73,1105789716,Tiền gửi tương lai,2002-01-12,2004-02-20
359,73,1034592869,Tiết kiệm truyền thống,2002-01-12,2004-10-02
368,73,1143179635,Tiết kiệm truyền thống,2002-01-12,2006-06-06
366,73,1168098214,Tiết kiệm truyền thống,2002-01-12,2010-03-20
367,73,1118791515,Tiết kiệm Đại Phát,2002-01-12,2011-05-15
364,73,1123895619,Tiết kiệm Trung Niên Tích Lộc,2002-01-12,2012-09-02
