Loan ID,CIF Number,Annual Income,Purpose,Home Ownership,Loan Amount,Loan Date,Due Date,Loan Term,Monthly Debt,Years of Credit History,Interest Rate,Total Paid,Months since last delinquency
19,5336,201852000,Real Estate,Own,285080391,2021-11-15,2026-11-15,60,4751339,1,6.5,250672814,14
20,2927,838404000,Others,Own,436685930,2023-05-21,2025-08-21,27,16173552,10,9,406161303,4
21,9190,632256000,Home,Own,351416339,2022-11-30,2025-01-30,26,13516013,4,7,149606911,6
22,1016,684660000,Consumer,Rent,233510357,2023-02-26,2028-02-26,60,3891839,2,6.5,228689390,5
23,8052,230112000,Home,Rent,87591646,2021-04-11,2026-04-11,60,1459860,8,7,62594989,13
24,3861,418908000,Automobile,Other,342562382,2022-05-10,2024-10-10,29,11812495,9,7.5,255689219,13
25,2029,42936000,Real Estate,Other,77477615,2024-03-03,2024-09-03,6,12912935,10,6.5,54280857,1
26,1541,179004000,Real Estate,Rent,438965334,2023-08-27,2027-10-27,50,8779306,6,6.5,235015286,11
27,8155,424116000,Real Estate,Rent,657737956,2023-10-20,2025-07-20,21,31320855,5,6.5,457761826,5
28,5765,59256000,Others,Own,24202818,2024-03-26,2027-05-26,38,636916,4,9,7919007,1
29,2029,42936000,Others,Other,203359635,2021-12-14,2024-10-14,34,5981165,3,9,132122415,11
30,2123,885168000,Others,Own,484252227,2023-12-03,2026-04-03,28,17294722,5,9,422861228,8
31,8260,226728000,Others,Rent,188885768,2024-05-18,2026-06-18,25,7555430,3,9,49932509,8
32,3539,44616000,Real Estate,Mortgage,873470625,2022-11-03,2025-12-03,37,23607314,4,6.5,90658145,15
33,4496,521784000,Others,Mortgage,222595839,2021-09-20,2025-06-20,45,4946574,3,9,213507104,11
34,8201,567048000,Others,Other,647255790,2023-03-02,2024-07-02,16,40453486,4,9,537468299,3
35,3986,522840000,Home,Own,554005737,2023-02-12,2028-02-12,60,9233428,3,7,271158708,19
36,8708,452256000,Business,Other,495067432,2020-12-24,2024-12-24,48,10313904,9,8.5,264549456,2
37,2583,159096000,Consumer,Own,1096960,2023-09-18,2025-10-18,25,43878,4,6.5,314256,7
38,6956,232812000,Automobile,Own,264000888,2021-06-21,2025-07-21,49,5387773,2,7.5,139691974,23
39,5363,812184000,Others,Mortgage,755841367,2022-06-06,2026-05-06,47,16081731,9,9,101665705,5
40,579,51288000,Business,Rent,675824799,2022-02-15,2026-12-15,58,11652151,7,8.5,594752551,26
41,7037,308436000,Real Estate,Other,110046817,2023-01-28,2025-04-28,27,4075808,3,6.5,36114966,5
42,1833,644004000,Consumer,Rent,588140334,2022-03-02,2025-12-02,45,13069785,8,6.5,263810609,7
43,3478,641148000,Automobile,Mortgage,865908214,2023-08-23,2024-11-23,15,57727214,7,7.5,126496663,4
44,1491,291708000,Consumer,Other,51394039,2022-12-27,2025-12-27,36,1427612,1,6.5,45088120,13
45,2242,254904000,Others,Own,123799198,2023-08-28,2025-03-28,19,6515747,8,9,38278775,7
46,7064,728844000,Business,Other,91263847,2020-09-03,2025-05-03,56,1629711,6,8.5,88632854,10
47,5039,703080000,Home,Other,19305381,2024-03-14,2026-07-14,28,689477,3,7,10515435,5
48,4645,622524000,Automobile,Mortgage,584064978,2023-10-07,2027-11-07,49,11919693,5,7.5,20042894,18
49,3786,426168000,Automobile,Rent,504337029,2023-11-27,2025-03-27,16,31521064,10,7.5,415844143,1
50,8104,447708000,Consumer,Other,998052666,2020-12-18,2025-08-18,56,17822369,1,6.5,165010341,10
51,6140,503256000,Real Estate,Rent,214306640,2023-05-12,2026-11-12,42,5102539,7,6.5,20437165,20
52,3541,352140000,Others,Own,994218752,2022-10-06,2025-02-06,28,35507812,1,9,44554606,2
53,8690,792300000,Automobile,Rent,284255589,2023-04-21,2027-07-21,51,5573639,8,7.5,70695140,16
54,3500,691596000,Others,Other,525386165,2022-07-16,2025-09-16,38,13825951,10,9,222981109,10
55,5233,552720000,Business,Rent,445005216,2022-12-09,2026-08-09,44,10113754,6,8.5,217328857,4
56,2677,877824000,Automobile,Mortgage,964847536,2021-10-07,2025-03-07,41,23532866,9,7.5,718017648,11
57,163,847548000,Consumer,Other,661528214,2023-08-18,2028-07-18,59,11212342,10,6.5,391200054,3
58,371,224448000,Home,Other,451364210,2024-04-27,2025-02-27,10,45136421,6,7,384149971,4
59,3813,689952000,Consumer,Own,867524467,2024-05-19,2029-03-19,58,14957318,2,6.5,831658593,8
60,9813,780264000,Business,Own,392497475,2022-03-27,2026-04-27,49,8010152,4,8.5,14070776,7
61,5363,812184000,Real Estate,Other,176566224,2022-07-23,2024-12-23,29,6088490,9,6.5,109013922,5
62,5804,365604000,Home,Mortgage,137736379,2022-02-08,2025-04-08,38,3624641,5,7,34843942,5
63,8484,178584000,Home,Rent,698323448,2022-10-06,2026-02-06,40,17458086,3,7,490227915,6
64,9065,270852000,Others,Rent,15251508,2023-08-29,2024-07-29,11,1386500,3,9,3105878,4
65,5428,196788000,Automobile,Own,843477591,2021-11-27,2026-01-27,50,16869551,3,7.5,680912821,13
66,2229,643800000,Automobile,Other,537729425,2024-01-20,2027-06-20,41,13115351,5,7.5,324866485,19
67,8662,633984000,Real Estate,Own,742910109,2022-12-28,2025-06-28,30,24763670,6,6.5,364897971,2
68,4587,672708000,Automobile,Own,39385232,2023-03-14,2026-07-14,40,984630,1,7.5,22918556,12
69,8221,140376000,Automobile,Rent,517670645,2022-09-30,2027-06-30,57,9081941,7,7.5,252521994,10
70,8233,52296000,Home,Mortgage,589644699,2024-02-17,2025-05-17,15,39309646,6,7,496903926,2
71,5283,794220000,Automobile,Rent,440905878,2023-12-22,2024-10-22,10,44090587,1,7.5,54419603,4
72,3,238332000,Home,Mortgage,122471974,2023-06-30,2024-07-30,13,9420921,10,7,27100446,3
73,2068,790128000,Others,Mortgage,905329927,2022-10-10,2025-05-10,31,29204191,2,9,285603079,2
74,8968,359748000,Consumer,Rent,379362066,2023-12-29,2027-04-29,40,9484051,6,6.5,11506653,2
75,9784,570096000,Automobile,Other,137127941,2024-03-28,2024-07-28,4,34281985,6,7.5,112191612,1
76,1162,40188000,Automobile,Mortgage,692928588,2023-08-12,2024-08-12,12,57744049,3,7.5,617553266,2
77,485,834960000,Others,Rent,592443213,2022-11-21,2025-08-21,33,17952824,2,9,502285540,5
78,9145,179268000,Others,Other,459797530,2024-02-13,2025-02-13,12,38316460,4,9,358000404,4
79,4242,223680000,Consumer,Mortgage,633860340,2023-07-01,2025-08-01,25,25354413,7,6.5,506658546,5
80,3160,406872000,Home,Own,727349962,2024-01-12,2024-10-12,9,80816662,8,7,376602477,2
81,2772,750036000,Home,Other,878620461,2024-02-28,2024-07-28,5,175724092,7,7,740447404,1
82,7752,371412000,Business,Mortgage,284099641,2024-04-09,2024-09-09,5,56819928,10,8.5,88966937,1
83,4274,612156000,Home,Own,942315810,2023-05-04,2025-03-04,22,42832536,1,7,370645919,1
84,435,754884000,Consumer,Other,143167532,2022-03-04,2026-10-04,55,2603046,4,6.5,44917539,18
85,4832,594720000,Consumer,Mortgage,792710528,2022-12-03,2025-11-03,35,22648872,9,6.5,644769557,2
86,270,402168000,Home,Other,990435816,2022-06-16,2024-11-16,29,34152959,1,7,366014272,3
87,9819,594456000,Business,Own,765312727,2023-11-24,2028-04-24,53,14439862,8,8.5,501010078,1
88,2961,805068000,Real Estate,Own,6523954,2024-06-06,2024-10-06,4,1630988,2,6.5,4281359,1
89,6321,459360000,Others,Other,558787028,2024-06-05,2025-07-05,13,42983617,2,9,473292791,4
90,2137,197784000,Others,Own,117253293,2024-05-20,2024-09-20,4,29313323,4,9,69388391,1
91,2962,444744000,Automobile,Own,722708901,2024-05-09,2024-10-09,5,144541780,10,7.5,168631240,1
92,6704,243144000,Business,Mortgage,237075651,2024-01-07,2026-10-07,33,7184110,7,8.5,18985838,15
93,9757,891828000,Real Estate,Mortgage,332280642,2022-11-09,2027-01-09,50,6645612,4,6.5,223501042,18
94,2052,395772000,Consumer,Rent,355197087,2022-06-04,2027-06-04,60,5919951,2,6.5,314264234,10
95,3980,760296000,Automobile,Other,206834401,2020-02-20,2025-02-20,60,3447240,9,7.5,199408490,5
96,4785,803496000,Consumer,Rent,990011147,2020-12-07,2025-10-07,58,17069157,6,6.5,157672651,14
97,5140,59796000,Consumer,Other,612730346,2022-12-09,2025-08-09,32,19147823,9,6.5,193664771,7
98,229,130416000,Automobile,Rent,859363860,2022-08-25,2024-06-25,22,39061993,6,7.5,502948104,10
99,2921,660756000,Business,Other,957802296,2021-03-14,2024-08-14,41,23361031,2,8.5,559351665,19
100,9974,142644000,Home,Own,553274432,2023-07-04,2026-11-04,40,13831860,6,7,497529949,10
101,2986,546372000,Automobile,Other,635147381,2023-12-26,2024-12-26,12,52928948,5,7.5,141748009,4
102,3368,631536000,Automobile,Rent,5230897,2023-02-09,2024-08-09,18,290605,5,7.5,3996883,6
103,4839,704172000,Business,Other,358391681,2019-10-09,2024-07-09,57,6287573,8,8.5,115089918,12
104,6323,151332000,Consumer,Other,176490818,2024-01-29,2024-06-29,5,35298163,10,6.5,149481034,1
105,3497,390912000,Business,Other,273890162,2022-10-28,2024-06-28,20,13694508,5,8.5,253559222,7
106,2983,520068000,Business,Own,273660331,2024-03-22,2024-08-22,5,54732066,9,8.5,233999642,1
107,1909,360132000,Consumer,Other,893084184,2024-03-23,2025-06-23,15,59538945,2,6.5,661227928,4
108,4366,703716000,Home,Own,766006820,2022-07-13,2026-07-13,48,15958475,9,7,204731496,13
109,4413,676008000,Real Estate,Own,893614077,2023-07-17,2026-05-17,34,26282766,2,6.5,234709099,13
110,7595,769644000,Business,Other,410806673,2023-10-16,2024-09-16,11,37346061,4,8.5,329585102,2
111,4898,562308000,Others,Mortgage,340895926,2023-10-01,2025-01-01,15,22726395,2,9,275520418,3
112,7903,821748000,Business,Rent,830510734,2023-08-12,2025-12-12,28,29661097,10,8.5,457330145,13
113,2125,58968000,Home,Rent,245676743,2020-11-03,2025-03-03,52,4724552,6,7,155590678,24
114,4603,778668000,Business,Rent,525065308,2021-09-12,2025-06-12,45,11668117,1,8.5,356565124,18
115,9009,799116000,Automobile,Mortgage,176152270,2024-02-23,2028-12-23,58,3037108,7,7.5,83204717,25
116,5366,239460000,Business,Rent,976522506,2022-12-18,2025-07-18,31,31500726,7,8.5,64426254,13
117,6835,888204000,Business,Own,918745574,2022-09-30,2026-10-30,49,18749909,2,8.5,31067645,4
118,4577,475476000,Real Estate,Rent,266861725,2023-04-30,2025-09-30,29,9202128,9,6.5,168659591,8
119,2743,632964000,Others,Rent,465110412,2024-04-09,2024-08-09,4,116277603,8,9,377201422,1
120,3037,759168000,Consumer,Mortgage,651301073,2024-03-04,2025-08-04,17,38311827,6,6.5,388384579,3
121,4730,483996000,Others,Own,86952413,2021-10-14,2025-08-14,46,1890269,7,9,19635339,2
122,9863,386136000,Business,Own,594550257,2024-02-11,2025-05-11,15,39636683,7,8.5,335073253,6
123,9567,749724000,Real Estate,Other,321096510,2024-05-09,2024-09-09,4,80274127,6,6.5,86121261,1
124,945,256932000,Automobile,Rent,781447856,2023-10-22,2025-02-22,16,48840491,1,7.5,375524592,2
125,9285,175428000,Automobile,Mortgage,142407149,2023-04-05,2026-11-05,43,3311794,6,7.5,63358508,11
126,7149,438588000,Business,Own,409491116,2021-12-31,2024-06-30,30,13649703,6,8.5,395839622,2
127,6573,804420000,Real Estate,Rent,988845783,2022-03-17,2026-11-17,56,17657960,4,6.5,119277523,13
128,594,801432000,Others,Rent,150326599,2023-05-01,2027-12-01,55,2733210,1,9,103146812,16
129,4235,236148000,Business,Own,386351356,2023-10-29,2027-09-29,47,8220241,2,8.5,273298877,13
130,2389,151476000,Home,Mortgage,354152887,2024-03-31,2025-08-31,17,20832522,1,7,136148937,4
131,8272,298056000,Others,Own,605093789,2023-05-31,2026-03-31,34,17796876,7,9,67250868,10
132,5193,439656000,Business,Other,303070822,2023-05-06,2026-11-06,42,7215971,6,8.5,22863308,18
133,1615,460668000,Home,Mortgage,223851665,2024-02-18,2024-09-18,7,31978809,9,7,223272064,2
134,457,396912000,Others,Other,440118148,2023-04-08,2025-11-08,31,14197359,1,9,427702491,6
135,2620,457296000,Real Estate,Mortgage,506490094,2024-02-28,2024-06-28,4,126622523,7,6.5,130966942,1
136,6152,537000000,Business,Own,213347357,2024-01-10,2025-01-10,12,17778946,10,8.5,141578016,4
137,6042,804600000,Home,Rent,764438831,2023-06-30,2027-04-30,46,16618235,6,7,641976691,4
138,4969,677928000,Others,Other,966799960,2024-02-16,2025-12-16,22,43945452,4,9,334530878,8
139,1030,175284000,Others,Mortgage,337247906,2024-01-05,2026-08-05,31,10878964,2,9,160217094,1
140,396,542280000,Real Estate,Other,783654559,2024-06-05,2024-10-05,4,195913639,1,6.5,501202804,1
141,180,300744000,Home,Mortgage,997006707,2021-10-02,2025-07-02,45,22155704,5,7,949037984,19
142,1933,882276000,Others,Rent,911178802,2022-07-03,2024-10-03,27,33747363,2,9,193284049,6
143,5660,890868000,Automobile,Other,952974437,2022-04-30,2026-11-30,55,17326807,3,7.5,951091701,11
144,6279,622896000,Others,Own,524173568,2022-03-12,2024-09-12,30,17472452,6,9,141612259,6
145,9212,588948000,Business,Rent,426654054,2023-04-03,2024-07-03,15,28443603,9,8.5,355159393,1
146,5523,43608000,Others,Rent,960061540,2023-07-23,2024-07-23,12,80005128,4,9,554653803,3
147,5670,625884000,Home,Mortgage,390556262,2023-01-25,2026-03-25,38,10277796,4,7,249546018,3
148,8292,720504000,Home,Mortgage,250811716,2023-12-30,2027-10-30,46,5452428,8,7,230747010,12
149,2821,404316000,Consumer,Mortgage,190296939,2024-06-03,2026-07-03,25,7611877,3,6.5,133410414,2
150,9443,538656000,Real Estate,Mortgage,360616749,2024-03-02,2024-07-02,4,90154187,8,6.5,303860047,1
151,4934,145008000,Real Estate,Rent,866596672,2022-07-03,2024-09-03,26,33330641,9,6.5,181385520,1
152,8317,785772000,Real Estate,Other,871549209,2023-08-03,2027-08-03,48,18157275,1,6.5,439989167,18
153,3850,52164000,Real Estate,Own,992039297,2021-07-27,2025-03-27,44,22546347,10,6.5,734076583,3
154,4228,786468000,Real Estate,Rent,619494651,2021-12-08,2026-11-08,59,10499909,6,6.5,512468741,3
155,2898,208992000,Others,Own,689635185,2023-11-15,2028-05-15,54,12771021,3,9,22792730,6
156,2219,347004000,Real Estate,Rent,568100534,2024-02-04,2025-04-04,14,40578609,2,6.5,47527188,5
157,142,457572000,Business,Other,643588752,2022-06-16,2024-08-16,26,24753413,9,8.5,521568440,7
158,5827,46440000,Home,Own,960008876,2023-12-13,2026-06-13,30,32000295,9,7,113930672,2
159,704,346524000,Real Estate,Mortgage,252833260,2024-01-11,2026-09-11,32,7901039,5,6.5,45332377,15
160,9500,318444000,Real Estate,Other,620974914,2023-08-17,2025-01-17,17,36527936,4,6.5,425480789,2
161,6443,816924000,Business,Own,499275036,2023-12-18,2024-11-18,11,45388639,1,8.5,157849770,2
162,3528,144228000,Home,Mortgage,360221341,2023-11-16,2024-10-16,11,32747394,3,7,208808788,4
163,9408,467148000,Real Estate,Own,54962855,2022-12-09,2025-06-09,30,1832095,3,6.5,23445783,3
164,6082,706968000,Home,Other,350130913,2024-04-08,2025-07-08,15,23342060,1,7,201730294,5
165,6793,423456000,Automobile,Mortgage,84254663,2023-12-20,2025-11-20,23,3663246,6,7.5,66497596,1
166,553,764568000,Business,Rent,408218115,2023-08-05,2027-12-05,52,7850348,4,8.5,167363447,20
167,6944,602784000,Business,Mortgage,944958983,2022-04-12,2025-07-12,39,24229717,5,8.5,777861475,11
168,3331,376068000,Others,Rent,147110215,2023-11-15,2026-01-15,26,5658085,3,9,56181496,3
169,9741,833424000,Business,Rent,402712391,2020-11-27,2024-10-27,47,8568348,8,8.5,96704344,5
170,6518,363096000,Business,Rent,170319219,2024-05-28,2025-05-28,12,14193268,4,8.5,64546456,2
171,3116,684444000,Real Estate,Rent,804749014,2023-10-29,2025-04-29,18,44708278,6,6.5,331722267,7
172,2424,727812000,Others,Rent,244300009,2022-09-26,2024-11-26,26,9396154,1,9,184324068,2
173,3524,363600000,Real Estate,Own,285463968,2022-12-03,2025-05-03,29,9843585,10,6.5,93591924,5
174,7670,409032000,Others,Own,965780518,2024-05-16,2024-10-16,5,193156103,1,9,679796749,1
175,9625,606228000,Consumer,Rent,496430198,2023-12-02,2025-05-02,17,29201776,1,6.5,481433915,1
176,1047,813924000,Automobile,Other,472941357,2023-08-04,2024-10-04,14,33781525,4,7.5,367954945,3
177,1210,223296000,Real Estate,Mortgage,313836983,2021-03-31,2024-10-31,43,7298534,6,6.5,218538237,11
178,5274,178788000,Others,Mortgage,71198749,2022-01-04,2026-11-04,58,1227564,9,9,44338728,27
179,6746,126816000,Real Estate,Rent,693264652,2021-07-27,2025-11-27,52,13332012,10,6.5,595016918,23
180,6294,233892000,Home,Mortgage,495022243,2023-10-19,2025-01-19,15,33001482,3,7,266916974,6
181,7010,681408000,Business,Other,537962998,2022-12-09,2025-04-09,28,19212964,4,8.5,294511068,12
182,8470,597672000,Business,Rent,847370997,2023-12-12,2026-02-12,26,32591192,1,8.5,527577244,2
183,8686,690612000,Home,Own,382653574,2023-06-08,2024-07-08,13,29434890,10,7,247129576,5
184,3119,217944000,Business,Other,628205000,2022-06-28,2025-10-28,40,15705125,8,8.5,31416926,14
185,3507,137724000,Others,Mortgage,549528491,2023-10-25,2027-05-25,43,12779732,6,9,67477034,5
186,9281,889404000,Real Estate,Mortgage,75258546,2023-05-30,2026-10-30,41,1835574,10,6.5,49700905,18
187,1824,734772000,Automobile,Own,846245201,2022-03-06,2025-01-06,34,24889564,1,7.5,115722236,7
188,9352,489660000,Consumer,Other,853451777,2024-03-19,2024-07-19,4,213362944,2,6.5,313950873,1
189,9780,125616000,Home,Rent,885661866,2020-02-06,2025-02-06,60,14761031,9,7,519241198,2
190,2496,262128000,Consumer,Rent,894405015,2024-03-22,2025-05-22,14,63886072,5,6.5,597891358,4
191,7152,377064000,Consumer,Own,546734953,2022-12-06,2025-02-06,26,21028267,9,6.5,140222466,3
192,1998,187692000,Automobile,Other,455072755,2023-09-10,2026-08-10,35,13002078,10,7.5,176123848,12
193,5204,693504000,Consumer,Rent,234092395,2023-12-10,2024-09-10,9,26010266,6,6.5,233989508,3
194,6829,435096000,Automobile,Mortgage,616551632,2023-08-11,2025-05-11,21,29359601,4,7.5,521655168,4
195,2761,193668000,Real Estate,Own,158216218,2024-06-14,2026-01-14,19,8327169,8,6.5,98594342,5
196,3496,827148000,Real Estate,Rent,510376954,2024-01-23,2025-06-23,17,30022173,6,6.5,188993033,4
197,5722,408624000,Home,Own,327830187,2024-02-04,2024-08-04,6,54638364,3,7,321261686,1
198,8163,721728000,Home,Rent,703244763,2020-06-23,2024-06-23,48,14650932,6,7,692403922,11
199,6144,479940000,Business,Other,31202884,2022-08-07,2024-08-07,24,1300120,6,8.5,12200226,5
200,7616,835416000,Consumer,Mortgage,301575100,2022-10-10,2024-11-10,25,12063004,9,6.5,73367554,9
201,6781,468972000,Business,Mortgage,6173427,2023-04-18,2027-01-18,45,137187,7,8.5,1506369,14
202,4715,639096000,Home,Other,573872266,2023-05-11,2024-12-11,19,30203803,9,7,381525318,4
203,7759,624912000,Real Estate,Rent,604841210,2023-04-01,2026-11-01,43,14066074,2,6.5,577909924,14
204,5040,720384000,Automobile,Other,963567286,2022-04-02,2026-09-02,53,18180514,2,7.5,849209552,1
205,9761,813228000,Home,Mortgage,466314938,2021-03-11,2024-09-11,42,11102736,7,7,434441530,11
206,9922,132504000,Consumer,Own,307757517,2022-08-05,2025-11-05,39,7891218,9,6.5,204323214,10
207,6859,758664000,Automobile,Other,80974412,2024-05-25,2025-01-25,8,10121801,1,7.5,74314256,1
208,7601,493476000,Real Estate,Other,833444715,2023-04-12,2026-06-12,38,21932755,3,6.5,739294616,12
209,643,412740000,Real Estate,Rent,567388982,2023-08-22,2024-09-22,13,43645306,9,6.5,339152632,2
210,7522,186300000,Real Estate,Mortgage,118255234,2023-12-26,2024-09-26,9,13139470,5,6.5,103592148,1
211,2348,849612000,Business,Own,61619794,2023-03-30,2025-11-30,32,1925618,3,8.5,52416545,3
212,2341,764076000,Consumer,Other,311057610,2022-11-01,2026-12-01,49,6348114,8,6.5,36101763,5
213,195,548316000,Others,Own,760027506,2022-08-19,2024-12-19,28,27143839,9,9,203500778,13
214,7193,775800000,Automobile,Mortgage,407579585,2024-04-27,2028-05-27,49,8317950,5,7.5,139635405,21
215,4265,44256000,Automobile,Rent,186225477,2023-02-15,2027-05-15,51,3651479,10,7.5,129170353,7
216,3726,686664000,Business,Own,316242031,2023-11-22,2024-07-22,8,39530253,3,8.5,63606169,1
217,5675,455016000,Home,Other,537871353,2023-07-02,2028-02-02,55,9779479,5,7,17095932,26
218,3903,478788000,Business,Mortgage,932743403,2022-02-16,2026-06-16,52,17937373,5,8.5,634902287,24
219,7150,251508000,Business,Mortgage,971307663,2024-05-25,2024-09-25,4,242826915,7,8.5,710174500,1
220,3006,448464000,Consumer,Other,728292742,2022-06-24,2025-10-24,40,18207318,5,6.5,619534086,15
221,7978,824196000,Home,Rent,82843467,2024-01-19,2027-09-19,44,1882806,3,7,7892282,5
222,8989,384048000,Others,Rent,6942773,2023-11-10,2024-08-10,9,771419,4,9,5659207,3
223,9308,134652000,Automobile,Mortgage,268335000,2022-09-12,2026-06-12,45,5963000,7,7.5,127617358,21
224,9749,192084000,Real Estate,Rent,975400309,2022-12-07,2027-02-07,50,19508006,10,6.5,443326408,1
225,1980,610800000,Home,Rent,953873132,2024-02-09,2026-08-09,30,31795771,6,7,114008174,5
226,7103,799932000,Business,Other,977025421,2022-07-10,2026-05-10,46,21239683,10,8.5,228270928,19
227,909,667140000,Automobile,Rent,941774926,2023-11-01,2024-09-01,10,94177492,8,7.5,276822496,2
228,9911,856032000,Business,Other,737457071,2024-04-07,2024-10-07,6,122909511,5,8.5,298755422,1
229,8396,651492000,Business,Own,285697476,2023-01-25,2026-06-25,41,6968231,3,8.5,228862014,15
230,8439,589404000,Home,Mortgage,259473947,2022-04-16,2025-08-16,40,6486848,6,7,64572157,5
231,2392,643008000,Real Estate,Rent,80703980,2024-01-18,2024-09-18,8,10087997,5,6.5,19547199,3
232,7555,54132000,Others,Own,591240669,2024-01-23,2026-01-23,24,24635027,6,9,284460721,1
233,7198,365292000,Business,Mortgage,18944064,2024-05-06,2027-02-06,33,574062,9,8.5,12551644,15
234,7992,129060000,Business,Mortgage,803359746,2023-10-01,2027-03-01,41,19594140,2,8.5,40995038,16
235,4705,503112000,Business,Other,285046736,2020-08-01,2025-07-01,59,4831300,3,8.5,180896767,22
236,4198,39348000,Business,Mortgage,208513962,2021-08-10,2025-10-10,50,4170279,3,8.5,127966266,5
237,1221,829164000,Consumer,Mortgage,720574853,2023-07-30,2024-12-30,17,42386756,10,6.5,153334964,5
238,9981,572220000,Real Estate,Own,378072882,2024-04-28,2029-01-28,57,6632857,2,6.5,140675184,21
239,6188,417648000,Automobile,Own,729759415,2023-07-30,2025-04-30,21,34750448,9,7.5,210125252,3
240,1516,174252000,Home,Rent,873333032,2024-01-02,2025-05-02,16,54583314,10,7,102001268,1
241,5887,797292000,Consumer,Rent,206514615,2024-04-25,2029-03-25,59,3500247,10,6.5,117103768,19
242,4428,446484000,Business,Own,723517047,2022-09-12,2025-07-12,34,21279913,6,8.5,323939994,13
243,1158,531444000,Consumer,Mortgage,795554016,2022-06-13,2026-06-13,48,16574042,5,6.5,355831115,1
244,1088,792072000,Home,Other,978674804,2023-02-25,2024-09-25,19,51509200,2,7,126782432,5
245,3912,353232000,Consumer,Own,817878224,2023-11-18,2026-10-18,35,23367949,8,6.5,483293962,14
246,8423,789096000,Automobile,Own,983251725,2021-03-07,2025-04-07,49,20066361,7,7.5,508376339,22
247,3517,714480000,Automobile,Own,384545195,2024-03-29,2025-01-29,10,38454519,2,7.5,261704772,1
248,9285,175428000,Others,Mortgage,710347424,2021-12-23,2025-02-23,38,18693353,1,9,461876910,13
249,1489,615960000,Others,Own,697723723,2023-11-24,2024-07-24,8,87215465,3,9,217257246,1
250,6857,845928000,Consumer,Rent,426420066,2022-07-10,2026-02-10,43,9916745,2,6.5,332589147,1
251,6790,248652000,Others,Own,484229403,2023-11-03,2026-03-03,28,17293907,5,9,155674399,4
252,4945,714768000,Consumer,Own,17613778,2022-12-31,2027-12-31,60,293562,10,6.5,7833884,8
253,9688,450876000,Home,Mortgage,57342900,2020-09-13,2025-03-13,54,1061905,8,7,23198828,14
254,5436,478980000,Real Estate,Own,313910344,2021-05-05,2025-05-05,48,6539798,9,6.5,13400184,19
255,3220,566592000,Automobile,Mortgage,387325484,2023-11-03,2028-05-03,54,7172694,3,7.5,30831857,12
256,1870,563664000,Home,Own,631408128,2022-10-10,2024-11-10,25,25256325,10,7,563248239,10
257,8812,758472000,Automobile,Mortgage,734775247,2024-01-24,2026-06-24,29,25337077,7,7.5,488830517,10
258,242,295800000,Home,Rent,755692233,2023-12-24,2024-07-24,7,107956033,6,7,530713134,1
259,4951,59268000,Real Estate,Mortgage,882131828,2023-01-31,2025-12-31,35,25203766,6,6.5,408948711,2
260,625,154644000,Business,Mortgage,389751977,2022-11-29,2025-12-29,37,10533837,1,8.5,156622554,7
261,299,676620000,Automobile,Mortgage,770741755,2022-09-10,2026-06-10,45,17127594,8,7.5,37839038,13
262,2257,58728000,Consumer,Mortgage,979438850,2024-05-16,2025-09-16,16,61214928,3,6.5,681821785,7
